1	17862908	favorite perfume of all time it;s strong, sexy, long lasting. the fragrance has a unique scent that	positif
2	4841126	come to a signature fragrance. I also love Allure & Beige! There is something so luxe & decadent about	positif
3	7824001	Honestly, I want to bathe in this perfume! It's pricey, so I've never owned a full size bottle, but	positif
4	19644470	the smell. The fragrance makes this product feel even more luxurious.	positif
5	23882554	I love this scent and the packaging is to die for. It smells amazing. I have always been a fan of	positif
6	22592972	smell it my boyfriend loves this scent on me as well!	positif
7	10543792	constant search for a LONG lasting perfume, I was so happy to try out this one. It has an amazing scent to	positif
8	24921045	My all time favourite perfume and I can't see it being replaced anytime soon! It smells so rich and	positif
9	10541745	This perfume is perfect! I got a sample and immediately fell in love. Even my boyfriend loves it. I	positif
10	14305532	I'm so in love with this perfume! I found it in both Ulta and Kohls and couldn't stop smelling	positif
11	16325672	Favorite scent ever made., long last smell that makes you a smell fresh all day long.Love using	positif
12	1340107	a cloying vanilla smell. It's my signature scent, with shout outs to Chanel#5, Jo Malone,	positif
13	9095517	really nice lotion. it had a soothing lavender scent and all my friends complimented my smell	positif
14	18601311	The smell, I didn't get to try this out completely because of the perfume smell. It is heavily	positif
15	9057986	I love the smell. I has a soft nice scent. It also leaves your skin really soft.	positif
16	10818267	My all-time favorite scent, hands down. This is the only perfume I have repurchased multiple times.	positif
17	10848002	fragrances), then you'll love this perfume. :)	positif
18	17771702	Fave scent & smells like Candy <br />I love this scent so much. Definitely a must-have	positif
19	4852637	either A) smell bad or B) the scent doesn't last long. But I instantly loved this, when you pair it with	positif
20	1944428	I am obsessed with this fragrance! It is a beautiful scent, my go-to!	positif
21	16689796	Love love this smell. My all time favorite perfume. Not too strong with kind of a flirtatious	positif
22	17825645	Love this scent! I'm not really into perfumes and all because it's hard for me to find a scent	positif
23	14601187	I love the scent so much. If you aren't wearing perfume, this has such a long lasting scent it	positif
24	7824433	This is my favorite perfume! It smells incredible, its very intricate and lasts for a while, such a	positif
25	17297087	Love this . It's my favorite fragrance . It's not a flowery scent maybe some mid tones but it's not	positif
26	18077699	Smells heavenly! If you like Juicy Couture perfumes, this has a similar scent profile. It is sweet	positif
27	4837706	Hands down the best smelling perfume! It's not over whelming and the scent settles so lightly.	positif
28	1454129	Light and sweet smelling, it s the perfect scent for daytime. A little lasts a long time too, so you	positif
29	4781571	I am completely in love with this scent. It changes throughout the day. At first, you smell the	positif
