20001	16565381	Don't you feel like when you get something around a certain time so whenever you smell that product	positif
20002	18615959	my all time favorite fragrance, smells like a sophisticated, satin dusty rose. a very youthful	positif
20003	5397725	I love the signature fragrance! It's one if the reasons I switch to this every other month and	positif
20004	10823149	This is an amazing perfume! The scent is so good. That's my choice for use daily	positif
20005	13633978	Love body Butter but the scent on this is amazing leaves me feeling smooth and smelling great	positif
20006	23682272	I like this perfume even though it smells a little bit too much and it can sometimes causes	positif
20007	7824100	collection of perfume and I tend to choose unusual, niche fragrances. While Angel and Flowerbomb are	positif
20008	14905470	Love this scent! I use this every day after the shower. Love the fruity smell.	positif
20009	24112813	and mysterious it smells. Perfect date night scent	positif
20010	16549439	Buy these little kits they are not to expensive and it gives you a good taste of a little bit of	positif
20011	1762191	put the scent on this morning and I am still able to smell it strongly on my skin. I took the perfume	positif
20012	15064454	This was the first grown up perfume that I received as a gift when I was 20. I wore this when ever	positif
20013	5407021	vanilla scent .Vanilla is a ubiquitous note these days and vastly overused .. In cheap perfumes and	positif
20014	7824825	Love, love, love this scent! I received it as a gift, and did not love how it smelled out of the	positif
20015	25571873	overwhelm your sense of smell. It's definitely different from your typical feminine-smelling perfumes. I'd	positif
20016	15938438	To lemony. I hated the smell. Otherwise worked great. Disappointed in the scent but feel great.	positif
20017	19700180	reminded of the fresh beach smell and sunscreen. I am utterly in love with this fragrance and will	positif
20018	19791179	tend to be sensitive to fragrances. I like how the scent lingers after you have gotten out of the	positif
20019	1355577	all rolled into one. When choosing perfumes I tend to go for ones with a distinct smell and this	positif
20020	6796697	I personally am obsessed with this fragrance! I use the deodorant, soap bar and body wash in this	positif
20021	15489575	this scent to those looking for Rose perfume without wanting to smell like their grandma, even though	positif
20022	4994078	has an amazing fruity scent without being a preteen fruit body spray smell. It's a low key scent but	positif
20023	25875875	One of my favorite perfumes I wear daily. Scent last long and smells amazing! Highly recommend.	positif
20024	15105158	Anytime I'm buying fragrances online that I've never smelled before, I'm scared that I won't like	positif
20025	4864551	good value, travel-friendly, reusable.  This is my favorite perfume!! I love using this scent as my	positif
20026	7821004	I love the scent of this perfume. It is pretty long lasting. It's not as strong as other perfumes	positif
20027	15698116	This perfume smells glorious. I typically do not like very fruity and florally scents so this has	positif
20028	18628558	body products in the line smell. (And I may yet enjoy the perfume oil, I've just never smelled it	positif
20029	10546857	perfume, it is just the right amount of rosy/fresh scent, and lingers on your skin, and actually smells	positif
20030	13307452	Fresh is true to it's name! The Sugar EDP is clean and very sweet smelling. It has a small hint of	positif
